run,split,seed_index,connection,household,settlement_chf
export_30kw_0.05,validation,3,13,large_flex,46.61044692993164
export_30kw_0.05,validation,3,14,large_flex,7.743804931640625
export_30kw_0.05,validation,3,15,pv_battery,49.12544250488281
export_30kw_0.05,validation,3,16,pv_battery,9.590470314025879
export_30kw_0.05,validation,3,17,large_flex,2.016723155975342
export_30kw_0.05,validation,4,0,tenant,-9.582695007324219
export_30kw_0.05,validation,4,1,tenant,-8.223555564880371
export_30kw_0.05,validation,4,2,tenant,-9.874584197998047
export_30kw_0.05,validation,4,3,tenant,-8.6941499710083
export_30kw_0.05,validation,4,4,tenant,-9.208690643310547
export_30kw_0.05,validation,4,5,tenant,-8.603460311889648
export_30kw_0.05,validation,4,6,pv_only,7.565587997436523
export_30kw_0.05,validation,4,7,pv_battery,27.726158142089844
export_30kw_0.05,validation,4,8,pv_battery,41.738685607910156
export_30kw_0.05,validation,4,9,pv_battery,36.254981994628906
export_30kw_0.05,validation,4,10,pv_only,31.571929931640625
export_30kw_0.05,validation,4,11,pv_battery,11.783285140991211
export_30kw_0.05,validation,4,12,large_flex,50.92832946777344
export_30kw_0.05,validation,4,13,large_flex,9.818962097167969
export_30kw_0.05,validation,4,14,large_flex,25.1090145111084
export_30kw_0.05,validation,4,15,pv_battery,49.60352325439453
export_30kw_0.05,validation,4,16,pv_battery,35.778053283691406
export_30kw_0.05,validation,4,17,large_flex,40.929931640625
export_30kw_0.05,validation,5,0,tenant,-9.076528549194336
export_30kw_0.05,validation,5,1,tenant,-9.676471710205078
export_30kw_0.05,validation,5,2,tenant,-10.186445236206055
export_30kw_0.05,validation,5,3,tenant,-7.155374526977539
export_30kw_0.05,validation,5,4,tenant,-9.871866226196289
export_30kw_0.05,validation,5,5,tenant,-9.806279182434082
export_30kw_0.05,validation,5,6,pv_only,22.545482635498047
export_30kw_0.05,validation,5,7,pv_battery,50.347869873046875
export_30kw_0.05,validation,5,8,pv_battery,23.41120147705078
export_30kw_0.05,validation,5,9,pv_battery,14.474308967590332
export_30kw_0.05,validation,5,10,pv_only,34.31659698486328
