run,split,seed_index,transformer_draw_peak_kw,transformer_export_peak_kw,reverse_flow_share,losses_share,voltage_p99_pu,over_voltage_share,coincidence_factor,peak_to_average,max_ramp_kw,flex_synchrony,community_settlement_chf,curtailed_share,self_consumption_share,cost_per_kwh_spread_chf,tenant_cost_per_kwh_chf,pv_only_cost_per_kwh_chf,pv_battery_cost_per_kwh_chf,large_flex_cost_per_kwh_chf,owner_cost_per_kwh_chf,tenant_import_share,valid_share,projection_mae_kw,tenant_cost_per_load_kwh_chf,pv_only_cost_per_load_kwh_chf,pv_battery_cost_per_load_kwh_chf,large_flex_cost_per_load_kwh_chf
tariff/tuned_family,test,1,7.185459136962891,41.56494140625,0.4657738208770752,0.04259708896279335,1.0480328798294067,0.005795739125460386,0.9195468425750732,2.4668526649475098,7.081508636474609,0.5196493268013,244.13262939453125,0.22261761128902435,0.3210877124142606,136097238.8607772,0.038318943274274264,-0.44186604429118204,-136097238.82245827,-0.40694437354566526,-1.1932763589346156,0.622804582118988,1.0,6.1487614999578e-09,0.0383189432322979,-0.2280266284942627,-0.3334624469280243,-0.06344552338123322
tariff/tuned_family,test,2,11.908531188964844,35.05849838256836,0.4568452537059784,0.027599195018410683,1.0416028499603271,0.0,0.8026279211044312,2.465402603149414,6.756305694580078,0.4664536714553833,134.1310577392578,0.22181925177574158,0.3523374023381267,6.467823746511666,0.20718357976097346,-0.4483229425542364,-6.260640166750693,-0.054725306155725816,-0.6114733444278364,0.5243105292320251,1.0,5.0966493247983635e-09,0.2071835845708847,-0.21869516372680664,-0.31727930903434753,-0.016184678301215172
tariff/tuned_family,test,3,6.161689758300781,37.734031677246094,0.4568452537059784,0.043303534388542175,1.052586317062378,0.01707393489778042,0.8557480573654175,2.73500919342041,6.2084197998046875,0.5875851511955261,201.57188415527344,0.1435478776693344,0.38258478258972706,11.289156430251072,0.16933121030684997,-0.28089173962590475,-11.119825219944222,-3.359107744591753,-2.0894666764560585,0.7482807040214539,1.0,7.45543093927381e-09,0.16933120787143707,-0.14456893503665924,-0.28303009271621704,-0.11994209885597229
tariff/tuned_family,test,4,5.659580230712891,42.19198226928711,0.4657738208770752,0.051667310297489166,1.0596116781234741,0.03524436056613922,0.9471942782402039,2.6404621601104736,7.142066955566406,0.5597912669181824,260.35357666015625,0.21858426928520203,0.34393995378488906,129.6658834096537,0.043625188527231205,-0.31470738167552903,-129.62225822112646,-5.8603860972980835,-2.5590817528040932,0.7818005681037903,1.0,6.14414208399694e-09,0.04362518712878227,-0.1708737313747406,-0.2981007695198059,-0.12749457359313965
tariff/tuned_family,test,5,8.02469253540039,37.011146545410156,0.4598214328289032,0.03375036641955376,1.043479084968567,0.0016447368543595076,0.8266289234161377,2.658778190612793,5.863666534423828,0.5013078451156616,177.24205017089844,0.1790306270122528,0.37403921925145933,12.556986527220422,0.19386951536923325,-0.35263823152662366,-12.36311701185119,-0.6021600147182264,-1.364183090521275,0.6765039563179016,1.0,7.304606697289273e-09,0.19386951625347137,-0.18187136948108673,-0.3300165832042694,-0.057831112295389175
tariff/tuned_family,test,6,7.073879241943359,37.56904602050781,0.4642857313156128,0.042333271354436874,1.0505871772766113,0.010808270424604416,0.8863456845283508,2.576010227203369,9.524822235107422,0.553608238697052,212.4359893798828,0.20721764862537384,0.3580969756419007,19.982266872970254,0.14863750743501258,-0.17389205919642864,-19.83362936553524,-2.0332981128256113,-1.7956268156825688,0.720823347568512,1.0,5.69222402546643e-09,0.14863750338554382,-0.09666807949542999,-0.3229018449783325,-0.12078745663166046
tariff/tuned_family,test,7,5.9833526611328125,42.27256774902344,0.4642857313156128,0.04633082449436188,1.054941177368164,0.01589912362396717,0.9508741497993469,2.698878765106201,7.442474365234375,0.5619565844535828,258.65606689453125,0.19104471802711487,0.33435266232740113,89392433.58219063,0.026822917355755968,-0.3739133776939723,-89392433.55536771,-5.284282490399258,-2.406667988964081,0.7678369879722595,1.0,6.805445540436494e-09,0.02682291716337204,-0.19971832633018494,-0.28530630469322205,-0.10700812190771103
tariff/tuned_family,test,8,6.880283355712891,34.89542007446289,0.4508928656578064,0.03652141988277435,1.0526714324951172,0.01738721877336502,0.8188899159431458,2.7906100749969482,7.0953369140625,0.5889561176300049,156.1591796875,0.13214391469955444,0.4083922013592829,7.3447709150157925,0.20320360965746814,-0.1647099458614903,-7.141567305358325,-3.375097836614507,-1.6465965894862045,0.7320197820663452,1.0,6.429174526090264e-09,0.20320360362529755,-0.09414046257734299,-0.20803308486938477,-0.14748728275299072
tariff/tuned_family,test,9,11.860370635986328,34.8505973815918,0.4523809552192688,0.024268802255392075,1.0394883155822754,0.00031328320619650185,0.80617356300354,2.777881383895874,4.746913909912109,0.4779924750328064,101.37468719482422,0.15672938525676727,0.3907863910717897,7.174003093962852,0.21817063975505194,-0.47514518800717837,-6.955832454207799,-0.006328618725148864,-0.6134583550103944,0.558617889881134,1.0,6.782578498842895e-09,0.2181706428527832,-0.24426652491092682,-0.27606016397476196,-0.0014685951173305511
tariff/tuned_family,test,10,8.378028869628906,34.6522331237793,0.4568452537059784,0.034958455711603165,1.0530000925064087,0.012296365574002266,0.7771300673484802,2.607919454574585,5.713939666748047,0.4858861267566681,157.99041748046875,0.1904905140399933,0.3778957359915378,1.9452299103424437,0.20578172571509884,-0.3025000933518002,-1.7394481846273449,-1.7280309096566893,-1.1240528288740135,0.6436006426811218,1.0,5.567724503663385e-09,0.2057817280292511,-0.15874728560447693,-0.21757443249225616,-0.1164703294634819
